STYLE NUMBER,SEASON,season_id,FINAL SUPPLIER PRODUCTION,ON FLOOR MONTH,month_id,season_factor,season_name,season_year,SHIP METHOD US RETAIL,SHIP METHOD US WHOLESALE,SQUAD,FABRIC TYPE,CATEGORY,FINAL FABRIC,MAIN FABRIC COMPOSITION,COO,FOB US,FOB EU,US LANDED,EU LANDED,US RETAIL FOR MKUP,EU RETAIL FOR MKUP,EU RETAIL...19,US RETAIL,US WHOLESALE,US ATS,EU RETAIL...23,EU CONCESSIONS,EU WHOLESALE,EU ATS,UK RETAIL,UK CONCESSIONS,UK WHOLESALE,UK ATS,TOTAL,TOTAL LANDED US,TOTAL LANDED EU,TOTAL LANDED UK,TOTAL RETAIL US,TOTAL RETAIL EU,TOTAL RETAIL UK,TOTAL CUSTO $,TOTAL VERBA $
317789,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,INDIA,49.5,47.025,60.380500000000005,58.83115,375,354.1666666666667,NA,288,641,0,32,20,57,21,35,0,92,24,1210,56093.484500000006,7648.0495,8883.503649999999,348375,55250,64175,75159.18943625,463151.5625
318399,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,VISCOSE MARROCAINE,100% VISCOSE,INDIA,30.9,29.045999999999996,42.007000000000005,37.867636,295,279.1666666666667,NA,288,152,0,32,9,169,41,35,0,24,10,760,18483.08,9504.776636,2612.866884,129800,84085,23115,31853.95293342,228372.3541666667
317643,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,VISCOSE MARROCAINE,100% VISCOSE,INDIA,39.95,37.553,53.13850000000001,47.786798,295,279.1666666666667,NA,144,117,0,16,0,66,0,18,0,50,0,411,13869.148500000003,3918.517436,3249.5022639999997,76995,27470,22780,22042.60242992,124743.66666666669
317757,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,LIGHT COTTON,100% COTTON,INDIA,47,44.65,58.238,56.0619,345,325,NA,288,560,0,32,31,13,0,35,0,68,0,1027,49385.824,4260.7044000000005,5774.3757000000005,292560,29640,40170,61018.387940500004,359995.875
318397,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,BOTTOMS,LIGHT COTTON,100% COTTON,INDIA,37,35.15,45.624,43.9849,275,258.33333333333337,NA,191,504,0,21,0,32,0,23,10,0,0,781,31708.680000000004,2331.1997,1451.5017000000003,191125,16430,10230,35981.153261499996,216218.20833333334
317766,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,INDIA,51,47.94,62.089,59.89804,375,354.1666666666667,NA,336,76,0,37,37,159,35,41,0,38,10,769,25580.667999999998,16052.674719999999,5330.92556,154500,113900,37825,49287.4137614,294673.8541666666
318974,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,LIGHT COTTON,100% COTTON,INDIA,43.5,41.324999999999996,54.199000000000005,52.18494999999999,325,304.1666666666667,NA,191,6,0,21,0,35,0,23,18,12,0,306,10677.203000000001,2922.3571999999995,2765.80235,64025,20440,19345,17192.23308275,101998.68750000001
320210,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,LIGHT COTTON,100% COTTON,INDIA,79,74.25999999999999,95.166,90.58716,335,316.6666666666667,NA,288,0,0,32,0,0,0,35,0,0,0,355,27407.807999999997,2898.78912,3170.5506,96480,12160,13300,34393.4368434,120899.75
320271,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,INDIA,47.5,45.125,58.102500000000006,56.61575,325,304.1666666666667,NA,526,291,0,58,0,41,8,65,0,0,0,989,47469.74250000001,6057.885249999999,3680.02375,265525,39055,23725,58459.708811250006,324568.3125
318980,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,BOTTOMS,LINEN VISCOSE,55% LINEN 45% VISCOSE,INDIA,19.7,18.715,24.6306,25.27085,215,204.16666666666669,NA,384,158,0,42,0,51,0,47,18,0,0,700,13349.7852,2350.18905,1642.6052499999998,116530,22785,15925,17876.678914750002,153103.39583333334
317872,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,LIGHT COTTON,100% COTTON,INDIA,26,24.439999999999998,34.004000000000005,32.49704,265,250,NA,384,149,120,42,17,44,20,47,0,6,10,839,22204.612,3997.1359199999997,2047.31352,173045,36900,18900,28989.506496400005,225241.25
317816,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,LIGHT COTTON,100% COTTON,INDIA,23,21.619999999999997,30.041999999999998,28.70892,210,195.83333333333334,NA,574,0,0,63,0,0,0,71,0,0,0,708,17244.108,1808.66196,2038.33332,120540,14805,16685,21676.3346142,150773.72916666666
